Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Watt-hr,Current(A),Voltage(V),DPt Time,Temp 1,EV Temp
869,11,"5,577,644.47",  0d 00:22:05.05,552.0699,"2,082.06","1,499.8856",3.9200,1,30.08,0.0
869,11,"5,577,649.47",  0d 00:22:10.05,554.1531,"2,090.23","1,499.8856",3.9209,1,30.13,0.0
869,11,"5,577,654.47",  0d 00:22:15.05,556.2364,"2,098.40","1,500.1144",3.9220,1,30.20,0.0
869,11,"5,577,659.47",  0d 00:22:20.05,558.3196,"2,106.57","1,499.9619",3.9226,1,30.20,0.0
869,11,"5,577,664.47",  0d 00:22:25.05,560.4029,"2,114.75","1,499.8856",3.9235,1,30.10,0.0
869,11,"5,577,669.47",  0d 00:22:30.05,562.4861,"2,122.92","1,499.8856",3.9242,1,30.10,0.0
869,11,"5,577,674.47",  0d 00:22:35.05,564.5693,"2,131.10","1,499.9619",3.9248,1,30.18,0.0
869,11,"5,577,679.47",  0d 00:22:40.05,566.6526,"2,139.27","1,499.8093",3.9261,1,30.21,0.0
869,11,"5,577,684.47",  0d 00:22:45.05,568.7358,"2,147.45","1,500.0381",3.9267,1,30.13,0.0
869,11,"5,577,689.47",  0d 00:22:50.05,570.8191,"2,155.63","1,499.9619",3.9276,1,30.10,0.0
869,11,"5,577,694.47",  0d 00:22:55.05,572.9023,"2,163.82","1,499.8856",3.9285,1,30.16,0.0
869,11,"5,577,699.47",  0d 00:23:00.05,574.9855,"2,172.00","1,500.0381",3.9296,1,30.20,0.0
869,11,"5,577,704.47",  0d 00:23:05.05,577.0688,"2,180.19","1,499.8856",3.9302,1,30.18,0.0
869,11,"5,577,709.47",  0d 00:23:10.05,579.1520,"2,188.38","1,499.8856",3.9310,1,30.10,0.0
869,11,"5,577,714.47",  0d 00:23:15.05,581.2353,"2,196.57","1,500.0381",3.9322,1,30.15,0.0
869,11,"5,577,719.47",  0d 00:23:20.05,583.3185,"2,204.76","1,499.8856",3.9325,1,30.23,0.0
869,11,"5,577,724.47",  0d 00:23:25.05,585.4017,"2,212.95","1,499.8856",3.9335,1,30.23,0.0
869,11,"5,577,729.47",  0d 00:23:30.05,587.4850,"2,221.15","1,499.9619",3.9345,1,30.12,0.0
869,11,"5,577,734.47",  0d 00:23:35.05,589.5682,"2,229.34","1,500.0381",3.9352,1,30.12,0.0
869,11,"5,577,739.47",  0d 00:23:40.05,591.6515,"2,237.54","1,500.0381",3.9358,1,30.20,0.0
869,11,"5,577,744.47",  0d 00:23:45.05,593.7347,"2,245.74","1,499.9619",3.9369,1,30.23,0.0
869,11,"5,577,749.47",  0d 00:23:50.05,595.8179,"2,253.95","1,499.8856",3.9378,1,30.15,0.0
869,11,"5,577,754.47",  0d 00:23:55.05,597.9012,"2,262.15","1,499.9619",3.9389,1,30.10,0.0
